Category;Name;Price;ImageUrl
Beef;Beef Mince per 500GM;Rs. 295;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620019-0-S.jpg?5
Beef;Veal Mince Per 500GM;Rs. 325;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620071-0-S.jpg?5
Beef;Beef Boti Boneless Per 500GM;Rs. 313;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12622561-0-S.jpg?5
Beef;Veal Boti (Boneless) Per 500GM;Rs. 416;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620504-0-S.jpg?5
Beef;Veal Pulao Cut Per 500GM;Rs. 305;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12621894-0-S.jpg?5
Beef;Veal Loaf (boneless) Per 500GM;Rs. 350;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620128-0-S.jpg?5
Beef;Beef With Bone Per 500GM;Rs. 225;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620503-0-S.jpg?5
Beef;Veal Fillet Per 500GM;Rs. 450;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12624325-0-S.jpg?7
Beef;Beef Fillet Per 2000GM;Rs. 1,698;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12622458-0-S.jpg?5
Beef;Top Sirlion Steak Per 500GM;Rs. 338;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12624983-0-S.jpg?5
Beef;Ribeye Steak Boneless Per 500GM;Rs. 338;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12624991-0-S.jpg?5
Beef;Veal Back Chop Per 500GM;Rs. 305;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12623057-0-S.jpg?5
Mutton;Mutton Biryani Cut Per 500GM;Rs. 375;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620238-0-S.jpg?5
Mutton;Mutton Mince Per 500GM;Rs. 627;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620063-0-S.jpg?5
Mutton;Mutton Karahi Cut (Leg Boti) Per 500GM;Rs. 700;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620122-0-S.jpg?5
Mutton;Mutton Leg Raan Per 500GM;Rs. 675;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620358-0-S.jpg?5
Mutton;Mutton Qorma Cut Per 500GM;Rs. 600;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620350-0-S.jpg?5
Mutton;Mutton Front Chops (Champ) Per 500GM;Rs. 600;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620323-0-S.jpg?5
Mutton;Mutton Back Chop Boti Per 500GM;Rs. 700;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620242-0-S.jpg?5
Mutton;Mutton Shoulder (Dasti) Per KG;Rs. 1,299;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620360-0-S.jpg?5
Mutton;Goat Brain 3 PCS Pack;Rs. 429;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12621770-0-S.jpg?5
Mutton;Mutton Shoulder Boti Per 500GM;Rs. 700;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620183-0-S.jpg?5
Mutton;Goat Kidney Per 500GM;Rs. 450;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12622178-0-S.jpg?5
Mutton;Mutton Mix Per 500 GM;Rs. 540;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12621010-0-S.jpg?5
